what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.web,1.1.402.v201012160000,"org.eclipse.wst.web",1342692217386
started,bundle,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms",1342692217400
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.4.v20111106-0100,"org.eclipse.mylyn.bugzilla.core",1342692217401
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1342692217402
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1342692217427
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1342692217427
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1342692217429
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1342692217429
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1342692217430
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1342692217435
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.4.v20111117-0100,"org.eclipse.mylyn.tasks.ui",1342692217437
started,bundle,org.springframework.ide.eclipse.aop.core,2.9.1.201203220057-RELEASE,"org.springframework.ide.eclipse.aop.core",1342692217438
started,bundle,org.springframework.ide.eclipse.aop.ui,2.9.1.201203220057-RELEASE,"org.springframework.ide.eclipse.aop.ui",1342692217438
started,bundle,org.springframework.ide.eclipse.beans.core,2.9.1.201203220057-RELEASE,"org.springframework.ide.eclipse.beans.core",1342692217452
started,bundle,org.springframework.ide.eclipse.beans.ui,2.9.1.201203220057-RELEASE,"org.springframework.ide.eclipse.beans.ui",1342692217454
started,bundle,org.springframework.ide.eclipse.core,2.9.1.201203220057-RELEASE,"org.springframework.ide.eclipse.core",1342692217455
started,bundle,org.springframework.ide.eclipse.ui,2.9.1.201203220057-RELEASE,"org.springframework.ide.eclipse.ui",1342692217455
os,sysinfo,,,"linux",1342692217484
arch,sysinfo,,,"x86",1342692217484
ws,sysinfo,,,"gtk",1342692217484
locale,sysinfo,,,"en_IN",1342692217484
processors,sysinfo,,,"2",1342692217484
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1342692217484
java.runtime.version,sysinfo,,,"1.6.0_24-b24",1342692217484
java.specification.name,sysinfo,,,"Java Platform API Specification",1342692217484
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1342692217484
java.specification.version,sysinfo,,,"1.6",1342692217484
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1342692217484
java.version,sysinfo,,,"1.6.0_24",1342692217484
java.vm.info,sysinfo,,,"mixed mode, sharing",1342692217484
java.vm.name,sysinfo,,,"OpenJDK Client VM",1342692217484
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1342692217484
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1342692217484
java.vm.specification.version,sysinfo,,,"1.0",1342692217484
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1342692217484
java.vm.version,sysinfo,,,"20.0-b12",1342692217484
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1342692217485
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1342692217486
started,bundle,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.adt",1342692217505
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1342692217558
started,bundle,org.springframework.ide.eclipse.osgi.targetdefinition,2.9.1.201203220057-RELEASE,"org.springframework.ide.eclipse.osgi.targetdefinition",1342692217562
started,bundle,com.android.ide.eclipse.traceview,16.0.1.v201112150204-238534,"com.android.ide.eclipse.traceview",1342692217646
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1342692218375
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1342692218384
started,bundle,org.springframework.ide.eclipse.uaa,2.9.1.201203220057-RELEASE,"org.springframework.ide.eclipse.uaa",1342692218411
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342692218653
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.102.v201008182136,"org.eclipse.jst.common.project.facet.core",1342692219692
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.201.v201011231540,"org.eclipse.jst.ws.jaxrs.core",1342692219700
started,bundle,org.eclipse.wst.server.core,1.1.206.v20110110,"org.eclipse.wst.server.core",1342692223474
started,bundle,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui",1342692224254
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342692226515
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1342692228487
activated,view,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.internal.introview",1342692228489
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1342692228505
closed,view,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.internal.introview",1342692228534
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1342692230413
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1342692230422
opened,view,org.eclipse.mylyn.tasks.ui,3.6.4.v20111117-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1342692230824
